Well,Latitude,Longitude,XML
Well E,"40°27'34.200""N","104°21'19.296""W",
Well F,"40°27'21.779""N","104°21'22.172""W",
Well G,"40°27'47.733""N","104°21'02.123""W",
Well H,"40°27'28.907""N","104°19'02.988""W",
